title,year,release_date,vote_average,vote_count,revenue,budget,runtime
Taylor Swift: Reputation Stadium Tour,2018,2018-12-31,8.243,408,0,0,125
I Want to Eat Your Pancreas,2018,2018-09-01,8.242,1637,33748006,0,108
Life in a Year,2020,2020-11-27,8.24,1920,0,0,107
Avengers: Endgame,2019,2019-04-24,8.24,26499,2799439100,356000000,181
Klaus,2019,2019-11-08,8.238,4309,0,0,96
Five Feet Apart,2019,2019-03-14,8.235,5737,92600000,7000000,116
Avengers: Infinity War,2018,2018-04-25,8.2,30712,2052415039,300000000,149
TAYLOR SWIFT | THE ERAS TOUR,2023,2023-10-13,8.218,451,261656269,15000000,169
Come and See,1985,1985-10-17,8.232,1628,20929648,0,142
Green Book,2018,2018-11-16,8.23,12101,321752656,23000000,130
Il Sorpasso,1962,1962-12-05,8.23,800,0,0,105
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,2021-03-08,8.229,859,93882453,29700000,155
The Matrix,1999,1999-03-31,8.229,26560,463517383,63000000,136
Mommy,2014,2014-09-19,8.228,2764,3494070,4900000,138
"The Boy, the Mole, the Fox and the Horse",2022,2022-12-25,8.227,644,0,0,35
Ultraman: Rising,2024,2024-06-14,8.2,334,0,0,117
Wolf Children,2012,2012-07-21,8.22,2348,55262158,0,117
Gladiator,2000,2000-05-04,8.22,19846,465516248,103000000,155
Justice League Dark: Apokolips War,2020,2020-05-05,8.219,1500,0,0,90
Witness for the Prosecution,1957,1957-12-17,8.217,1512,9000000,3000000,116
Saving Private Ryan,1998,1998-07-24,8.218,16391,481840909,70000000,169
Puss in Boots: The Last Wish,2022,2022-12-07,8.2,8279,484700000,90000000,103
Wolfwalkers,2020,2020-10-26,8.213,1274,1310720,12000000,102
Inglourious Basterds,2009,2009-08-02,8.213,22986,321457747,70000000,153
The Shining,1980,1980-05-23,8.211,18031,44781695,19000000,144
Woman in the Dunes,1964,1964-02-15,8.2,478,0,0,147
The Art of Racing in the Rain,2019,2019-08-08,8.208,1532,33800000,18000000,109
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,2020-10-16,8.207,4125,523542183,15700000,117
Michael Jackson's Thriller,1983,1983-11-14,8.206,713,0,500000,14
The Help,2011,2011-08-09,8.206,8601,216600000,25000000,146
Star Wars,1977,1977-05-25,8.206,21308,775398007,11000000,121
Coco,2017,2017-10-27,8.204,20058,807816196,175000000,105
The Handmaiden,2016,2016-06-01,8.2,3966,38600000,8575000,145
The Prestige,2006,2006-10-17,8.204,16622,109676311,40000000,130
Shutter Island,2010,2010-02-14,8.201,24666,294804195,80000000,138
My Mom Is a Character 3,2019,2019-12-26,8.197,482,39273021,2000000,111
The Apartment,1960,1960-06-21,8.196,2441,25000000,3000000,125
Doctor Who: The Day of the Doctor,2013,2013-11-23,8.2,760,10000000,0,77
20th Century Girl,2022,2022-10-06,8.192,742,0,119,119
Hacksaw Ridge,2016,2016-10-07,8.193,14187,175302354,40000000,139
Maquia: When the Promised Flower Blooms,2018,2018-02-24,8.19,654,4345395,0,115
A Clockwork Orange,1971,1971-12-19,8.2,13237,27033812,2200000,137
The Seventh Seal,1957,1957-02-16,8.2,3124,311212,150000,96
Django Unchained,2012,2012-12-25,8.183,26879,425368238,100000000,165
Black Clover: Sword of the Wizard King,2023,2023-06-16,8.172,314,0,0,113
Memento,2000,2000-10-11,8.179,15386,40047236,9000000,113
Investigation of a Citizen Above Suspicion,1970,1970-10-16,8.176,820,0,0,111
Bicycle Thieves,1948,1948-07-21,8.176,2500,450159,133000,89
Top Gun: Maverick,2022,2022-05-21,8.174,10001,1488732821,170000000,131
The Usual Suspects,1995,1995-07-19,8.173,10756,23300000,6000000,106
Flow,2024,2024-08-29,8.171,2120,17660107,3700000,85
Steven Universe: The Movie,2019,2019-10-07,8.172,819,0,0,82
Tokyo Story,1953,1953-11-03,8.2,1130,0,0,137
Alien,1979,1979-05-25,8.165,15414,104931801,11000000,117
Innocent Voices,2005,2005-01-28,8.163,504,837000,0,120
Vertigo,1958,1958-05-28,8.161,5965,7808900,2479000,128
Scarface,1983,1983-12-09,8.161,12306,66023329,25000000,170
The Departed,2006,2006-10-04,8.159,15396,291465000,90000000,151
Good Will Hunting,1997,1997-12-05,8.158,12910,225900000,10000000,127
Casablanca,1943,1943-01-15,8.157,5669,10462500,878000,103
The Kid,1921,1921-01-21,8.154,2203,2500000,250000,68
My Hero Academia: Heroes Rising,2019,2019-12-20,8.153,1215,30017163,0,104
Piper,2016,2016-06-16,8.2,1671,0,0,6
Persona,1966,1966-10-18,8.151,2275,0,0,84
Silenced,2011,2011-09-22,8.152,690,31500000,2200000,125
Singin' in the Rain,1952,1952-04-10,8.149,3277,7200000,2540800,103
Capernaum,2018,2018-09-20,8.1,1816,64978931,4000000,126
The Truman Show,1998,1998-06-04,8.147,19087,264100000,60000000,103
Hamilton,2020,2020-07-03,8.146,1512,0,0,160
Dune: Part Two,2024,2024-02-27,8.144,6828,714444358,190000000,167
Togo,2019,2019-12-20,8.142,2104,0,0,113
My Friends,1975,1975-10-24,8.142,712,0,0,140
Violet Evergarden: Eternity and the Auto Memory Doll,2019,2019-09-06,8.14,411,10841702,0,91
Palmer,2021,2021-01-28,8.138,1766,0,0,110
Central Station,1998,1998-04-03,8.1,970,5596708,2900000,110
Joker,2019,2019-10-01,8.135,26585,1078958629,55000000,122
Bound by Honor,1993,1993-02-05,8.135,1439,4500000,35000000,180
Taxi Driver,1976,1976-02-09,8.135,12746,28579636,1900000,114
8½,1963,1963-02-14,8.135,2391,0,0,139
Better Days,2019,2019-10-25,8.1,492,225879065,0,135
There's Still Tomorrow,2023,2023-10-26,8.13,1391,50121593,9000000,118
The Shop Around the Corner,1940,1940-01-12,8.13,760,0,500000,99
Terminator 2: Judgment Day,1991,1991-07-03,8.129,13420,520000000,102000000,137
Jujutsu Kaisen 0,2021,2021-12-24,8.123,1525,195870885,0,105
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1964-01-29,8.122,5827,9500000,1800000,95
Full Metal Jacket,1987,1987-06-26,8.122,10876,46357676,30000000,117
Red Beard,1965,1965-04-03,8.119,378,0,0,185
Reservoir Dogs,1992,1992-09-02,8.119,14706,2859750,1200000,99
Wonder,2017,2017-11-13,8.118,8026,315025930,20000000,113
Zack Snyder's Justice League,2021,2021-03-18,8.117,10284,0,70000000,242
Portrait of a Lady on Fire,2019,2019-09-18,8.114,2717,9923127,5740000,121
Call Me by Your Name,2017,2017-07-28,8.1,12349,43143046,3500000,132
"Lock, Stock and Two Smoking Barrels",1998,1998-08-28,8.114,6801,28356188,1350000,105
"“The Shorts” by Aldo, Giovanni and Giacomo",1996,1996-03-29,8.113,355,0,0,130
The Father,2020,2020-12-23,8.112,3360,21029340,6000000,97
Stalker,1979,1979-05-25,8.1,2323,0,120000,162
Double Indemnity,1944,1944-07-06,8.111,1883,2500000,927262,107
Scenes from a Marriage,1974,1974-09-15,8.109,373,0,150000,169
Soul,2020,2020-12-25,8.107,10833,121977511,150000000,101
Wild Strawberries,1957,1957-08-28,8.1,1696,0,0,91
Green Snake,2021,2021-07-23,8.105,330,87212911,0,131
The Best of Youth,2003,2003-06-22,8.105,564,2693053,0,367
Metropolis,1927,1927-02-06,8.105,2897,1350322,5300000,153
In the Mood for Love,2000,2000-09-29,8.103,2960,15867968,3000000,98
Big Deal on Madonna Street,1958,1958-07-26,8.101,736,0,0,106
WALL·E,2008,2008-06-22,8.101,19331,521311860,180000000,98
New Gods: Nezha Reborn,2021,2021-02-06,8.1,469,70000000,0,116
"Paris, Texas",1984,1984-07-16,8.1,2004,2181987,1750000,145
Prisoners,2013,2013-09-19,8.098,12269,122126687,46000000,153
Yojimbo,1961,1961-04-25,8.098,1555,0,0,110
Mortal Kombat Legends: Scorpion's Revenge,2020,2020-04-12,8.1,1411,0,0,80
The Invisible Guest,2017,2017-01-06,8.1,4699,30000000,4000000,107
Some Like It Hot,1959,1959-03-19,8.096,3625,25000000,2883848,122
The Hate U Give,2018,2018-10-19,8.095,2161,34934009,23000000,133
Sansho the Bailiff,1954,1954-03-31,8.095,393,0,0,124
The Hunt,2012,2012-06-13,8.094,4403,18300000,3800000,116
The Great War,1959,1959-10-28,8.094,358,0,0,137
Children of Paradise,1945,1945-03-15,8.093,429,1457,0,190
"Miraculous World: New York, United HeroeZ",2020,2020-09-25,8.1,1115,0,0,61
Incendies,2010,2010-09-17,8.092,2955,6788659,6800000,131
Eternal Sunshine of the Spotless Mind,2004,2004-03-19,8.092,15542,72258126,20000000,108
Harry Potter and the Deathly Hallows: Part 2,2011,2011-07-12,8.087,21129,1341511219,125000000,130
La Haine,1995,1995-05-31,8.1,4241,15300000,2600000,98
Das Boot,1981,1981-09-17,8.085,2322,85000000,14000000,150
Purple Hearts,2022,2022-07-29,8.081,2695,0,0,122
The Tale of The Princess Kaguya,2013,2013-11-23,8.081,1863,24366656,49300000,137
All About Eve,1950,1950-11-09,8.08,1592,8400000,1400000,139
Far from the Tree,2021,2021-11-24,8.079,380,0,0,7
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,2019,2019-08-30,8.075,567,5078942,0,90
M,1931,1931-05-11,8.074,2297,35274,0,111
Transformers One,2024,2024-09-11,8.073,1304,128888103,75000000,104
To Live,1994,1994-05-18,8.072,332,0,0,133
There Will Be Blood,2007,2007-12-26,8.072,6878,77208711,25000000,158
Along with the Gods: The Two Worlds,2017,2017-12-20,8.071,1096,125983972,18300000,139
My Neighbor Totoro,1988,1988-04-16,8.071,8313,41000000,3700000,86
The Thing,1982,1982-06-25,8.07,7358,19629760,15000000,109
Memoir of a Snail,2024,2024-10-17,8.068,584,7,4350000,94
Along with the Gods: The Last 49 Days,2018,2018-08-01,8.068,697,112790210,18300000,141
"Three Billboards Outside Ebbing, Missouri",2017,2017-12-01,8.1,10380,162729321,15000000,115
La Dolce Vita,1960,1960-02-05,8.066,1936,19647000,0,176
A Taxi Driver,2017,2017-08-02,8.065,1054,81927980,12820005,138
Pride & Prejudice,2005,2005-09-16,8.065,8321,124604345,28000000,127
2001: A Space Odyssey,1968,1968-04-02,8.1,11920,71923560,12000000,149
Memories of Murder,2003,2003-04-25,8.1,4101,26000000,2800000,131
A Dog's Journey,2019,2019-05-03,8.06,1558,78871079,16000000,109
Prayers for Bobby,2009,2009-01-24,8.1,598,0,0,89
Sherlock Jr.,1924,1924-04-17,8.059,1060,0,0,45
Rashomon,1950,1950-08-26,8.059,2341,117668,250000,88
Believe Me: The Abduction of Lisa McVey,2018,2018-09-30,8.058,644,0,0,98
Oppenheimer,2023,2023-07-19,8.057,10435,952000000,100000000,181
Elite Squad,2007,2007-10-12,8.057,2520,14759148,4000000,115
Guillermo del Toro's Pinocchio,2022,2022-11-09,8.055,3081,0,35000000,117
Look Back,2024,2024-06-28,8.053,377,12648664,0,58
Hidden Figures,2016,2016-12-10,8.053,10009,235957472,25000000,127
Ran,1985,1985-06-01,8.1,1645,23334156,12000000,160
The Young and the Damned,1950,1950-12-09,8.051,503,0,0,82
Bo Burnham: Make Happy,2016,2016-06-03,8.1,400,0,0,60
The Elephant Man,1980,1980-10-09,8.05,3683,26000000,5000000,124
A Special Day,1977,1977-08-11,8.0,709,0,0,106
Lion,2016,2016-11-24,8.045,6717,140312928,12000000,118
Me Against You: Mr. S's Vendetta,2020,2020-01-17,8.042,469,9500000,75000,64
Bo Burnham: Inside,2021,2021-07-22,8.0,538,0,0,87
Ayla: The Daughter of War,2017,2017-10-27,8.0,373,21107423,4200000,124
The Grand Budapest Hotel,2014,2014-02-26,8.037,15281,174600318,30000000,100
Paper Lives,2021,2021-03-12,8.029,390,0,0,96
The Lives of Others,2006,2006-03-23,8.033,3839,77672685,2000000,137
The Second Mother,2015,2015-06-04,8.033,743,0,0,112
My Name Is Khan,2010,2010-02-10,8.033,1358,42345360,12000000,165
Judgment at Nuremberg,1961,1961-12-18,8.032,850,10000000,3000000,191
On My Skin,2018,2018-09-12,8.031,1862,0,0,100
The Wolf of Wall Street,2013,2013-12-25,8.028,24770,407038432,100000000,180
The Sting,1973,1973-12-25,8.027,2726,159616327,5500000,129
How to Train Your Dragon: Homecoming,2019,2019-12-03,8.027,1040,0,0,22
Scooby-Doo! and Kiss: Rock and Roll Mystery,2015,2015-07-09,8.026,329,0,0,79
Flipped,2010,2010-08-06,8.026,3147,4324817,14000000,89
The Wages of Fear,1953,1953-04-22,8.026,1001,0,0,153
The 400 Blows,1959,1959-06-03,8.026,2210,0,0,99
Robot Dreams,2023,2023-12-06,8.024,678,4656348,5300000,102
Amadeus,1984,1984-09-19,8.024,4440,90007557,18000000,160
"Veinteañera, divorciada y fantástica",2020,2020-02-14,8.023,389,0,0,93
"Toto, Peppino, and the Hussy",1956,1956-08-23,8.021,358,0,0,101
"Rome, Open City",1945,1945-10-08,8.021,919,1000000,20000,103
For a Few Dollars More,1965,1965-12-18,8.018,4162,15000000,600000,132
Dial M for Murder,1954,1954-05-29,8.018,2698,3000000,1400000,105
Song of the Sea,2014,2014-06-23,8.015,1473,857522,0,94
Rocco and His Brothers,1960,1960-10-07,8.015,619,0,0,178
Requiem for a Dream,2000,2000-10-06,8.015,10364,7390108,4500000,102
Harry Potter and the Prisoner of Azkaban,2004,2004-05-31,8.013,22229,789804554,130000000,141
Hachi: A Dog's Tale,2009,2009-06-08,8.012,6862,46800000,16000000,93
Gifted,2017,2017-04-07,8.007,5698,40300000,7000000,101
American Beauty,1999,1999-09-15,8.007,12439,356296601,15000000,122
Late Spring,1949,1949-09-13,8.006,439,0,0,108
Ford v Ferrari,2019,2019-11-13,8.005,8380,225508210,97600000,153
Black Beauty,2020,2020-11-27,8.004,342,0,0,110
Jojo Rabbit,2019,2019-10-18,8.004,9867,82468705,14000000,108
Room,2015,2015-10-16,8.004,9371,35401758,13000000,118
Barry Lyndon,1975,1975-12-18,8.001,2953,31500000,11000000,185
Beyond the Universe,2022,2022-10-27,8.002,328,0,0,126
Weathering with You,2019,2019-06-19,8.0,2435,186965409,0,112
Kill Bill: The Whole Bloody Affair,2011,2011-03-27,8.0,1061,0,55000000,247
3 Idiots,2009,2009-12-23,7.999,2502,70000000,9000000,171
Casino,1995,1995-11-22,7.999,6089,116112375,50000000,179
Citizen Kane,1941,1941-04-17,7.998,5707,23218000,839727,119
Society of the Snow,2023,2023-12-15,7.996,3188,1281,65500000,144
Lawrence of Arabia,1962,1962-12-11,7.997,3183,69995385,15000000,228
Ugetsu,1953,1953-03-26,7.996,599,0,0,96
Tae Guk Gi: The Brotherhood of War,2004,2004-02-05,7.996,720,0,1500000,148
"Love, Simon",2018,2018-02-16,7.995,6111,66316289,17000000,110
The Imitation Game,2014,2014-11-14,7.994,17407,233555708,14000000,113
All Your Faces,2023,2023-03-29,7.987,615,0,0,115
Loving Vincent,2017,2017-06-22,7.992,2508,42187665,5500000,95
Love Hurts,2002,2002-11-08,7.992,333,0,10000000,104
Cruella,2021,2021-05-26,8.0,9645,233503234,200000000,134
Paperman,2012,2012-11-02,7.991,1743,0,0,7
The Deer Hunter,1978,1978-12-08,7.991,3965,49000000,15000000,183
The Passion of Joan of Arc,1928,1928-04-21,8.0,1004,18121,0,82
Sound of Freedom,2023,2023-07-03,7.991,2571,250600000,14500000,131
Gran Torino,2008,2008-12-12,7.99,10995,270000000,33000000,116
"Red, White & Royal Blue",2023,2023-07-27,7.989,1392,0,0,121
El mesero,2021,2021-07-15,8.0,354,0,0,86
1917,2019,2019-12-25,7.989,12857,394638258,100000000,119
Bingo: The King of the Mornings,2017,2017-08-24,7.989,397,0,0,113
Nights of Cabiria,1957,1957-10-03,7.989,800,752045,0,110
To Kill a Mockingbird,1962,1962-12-20,7.989,2704,13129846,2000000,129
In a Heartbeat,2017,2017-06-01,7.988,1002,0,0,4
The Count of Monte Cristo,2024,2024-06-28,7.988,1686,75360860,46000000,178
The Secret in Their Eyes,2009,2009-08-13,7.984,2654,33965843,2000000,130
Like Stars on Earth,2007,2007-12-21,7.983,1218,28430000,2600000,162
The Gold Rush,1925,1925-07-13,7.984,1681,4000000,923000,95
North by Northwest,1959,1959-07-08,7.983,4255,13275000,4000000,136
Nobody Knows,2004,2004-08-07,8.0,571,0,0,141
Love Exposure,2009,2009-01-31,8.0,475,0,0,237
Catch Me If You Can,2002,2002-12-16,8.0,16201,352114312,52000000,141
Kitbull,2019,2019-01-18,7.974,378,0,0,9
Castle in the Sky,1986,1986-08-02,7.973,4381,5228752,3000000,125
The Hidden Fortress,1958,1958-12-28,8.0,645,57673,0,139
Bohemian Rhapsody,2018,2018-10-24,7.972,17197,910813521,52000000,135
Andrei Rublev,1966,1966-12-16,7.972,876,24173,0,183
Kill Bill: Vol. 1,2003,2003-10-10,7.971,17979,180906076,30000000,111
Autumn Sonata,1978,1978-10-08,8.0,643,0,0,93
Toy Story,1995,1995-11-22,7.97,18952,394436586,30000000,81
La Notte,1961,1961-01-24,7.969,701,0,0,122
The Red Shoes,1948,1948-09-06,7.968,695,0,500000,133
Before Sunrise,1995,1995-01-27,8.0,4330,5987386,2500000,101
Chungking Express,1994,1994-07-14,8.0,1963,0,160000,103
Predator: Killer of Killers,2025,2025-06-05,7.963,708,0,0,85
Three Men and a Leg,1997,1997-12-27,7.963,2101,0,0,98
Trainspotting,1996,1996-02-23,7.962,9923,71981823,4000000,94
I'm Still Here,2024,2024-09-19,8.0,730,36109482,1480000,138
Jurassic Park,1993,1993-06-11,7.96,16918,920100000,63000000,127
The Way He Looks,2014,2014-04-10,8.0,954,1207841,0,96
Up,2009,2009-05-28,7.958,20778,735099082,175000000,96
Tel chi el telùn,1999,1999-05-12,7.957,327,0,0,120
Sanjuro,1962,1962-01-01,7.955,649,0,0,96
Mirror,1975,1975-03-07,7.955,1007,124367,825000,107
Million Dollar Baby,2004,2004-12-05,7.955,9879,216763646,30000000,132
The Treasure of the Sierra Madre,1948,1948-01-15,7.954,1250,4307000,3800000,126
Aliens,1986,1986-07-18,7.954,10195,183316455,18500000,137
A Man Escaped,1956,1956-11-11,7.952,566,0,0,101
Whisper of the Heart,1995,1995-07-15,7.951,2110,0,0,111
The Sixth Sense,1999,1999-08-06,7.951,12125,672800000,40000000,107
Pink Floyd: The Wall,1982,1982-07-14,7.95,1541,22244207,12000000,95
The Iron Giant,1999,1999-08-06,8.0,5808,23300000,50000000,86
Nausicaä of the Valley of the Wind,1984,1984-03-11,7.951,3771,9016411,1000000,117
Monster,2023,2023-06-02,7.948,716,0,0,125
Ordet,1955,1955-01-09,7.9,384,0,0,125
Ne Zha,2019,2019-07-26,7.947,559,742718496,22000000,110
The Exterminating Angel,1962,1962-05-16,7.947,693,0,0,93
Castaway on the Moon,2009,2009-05-14,7.947,696,0,0,119
No Country for Old Men,2007,2007-06-13,7.947,12472,171627166,25000000,122
The Boy and the Beast,2015,2015-07-11,7.946,1520,49714378,0,119
The Great Escape,1963,1963-07-03,7.946,2653,11700000,4000000,173
Where Is The Friend's House?,1987,1987-07-01,7.9,385,0,0,83
Braveheart,1995,1995-05-24,7.943,10482,213216216,72000000,177
Spider-Man: No Way Home,2021,2021-12-15,7.9,20896,1921847111,200000000,148
Rope,1948,1948-03-11,7.943,2820,2200000,1500000,81
Farewell My Concubine,1993,1993-01-01,7.942,611,6400000,4000000,171
The General,1926,1926-12-25,7.9,1315,1000000,750000,79
Akira,1988,1988-06-10,7.941,4447,49000000,5700000,124
Blade Runner,1982,1982-06-25,7.941,14231,41722424,28000000,118
12 Years a Slave,2013,2013-10-18,7.938,11500,187000000,20000000,134
Flamin' Hot,2023,2023-03-11,7.937,726,0,0,99
The Circus,1928,1928-01-06,7.937,825,0,9000000,72
Guardians of the Galaxy Vol. 3,2023,2023-05-03,7.936,7469,845600000,250000000,150
When Marnie Was There,2014,2014-07-19,7.9,1857,34949567,0,103
Close-Up,1990,1990-05-09,7.936,408,0,0,98
Miraculous World: Shanghai - The Legend of Ladydragon,2021,2021-05-15,7.9,665,0,0,54
Don't Look Now... We're Being Shot At!,1966,1966-12-08,7.933,1394,0,0,132
The Cure,1995,1995-04-21,7.933,321,2568235,0,97
Me Before You,2016,2016-06-01,7.931,12718,207945075,20000000,110
Miracle in Cell No. 7,2013,2013-01-23,7.931,456,80300000,0,127
The Postman,1994,1994-04-07,7.9,1165,33000000,3000000,109
The Cabinet of Dr. Caligari,1920,1920-02-27,7.93,1661,8811,18000,77
It's Such a Beautiful Day,2012,2012-08-24,7.9,346,0,0,62
Raise the Red Lantern,1991,1991-12-18,7.929,742,16600000,1000000,125
Ghost in the Shell,1995,1995-11-18,7.929,3582,10000000,3000000,83
Gone with the Wind,1939,1939-12-15,7.928,4159,402352579,4000000,233
Ivan Vasilyevich Changes His Profession,1973,1973-09-17,7.9,373,0,0,93
Freedom Writers,2007,2007-01-05,7.928,2315,43095175,21000000,123
"Batman: The Dark Knight Returns, Part 2",2013,2013-01-03,7.927,1530,0,3500000,78
Dersu Uzala,1975,1975-08-02,7.9,571,0,4000000,141
Raiders of the Lost Ark,1981,1981-06-12,7.925,12944,389925971,18000000,115
Nobody,2021,2021-03-18,7.924,7486,57512470,16000000,91
Raging Bull,1980,1980-11-14,7.924,4471,23380203,18000000,129
Suzume,2022,2022-11-11,7.9,1507,323638107,0,121
The Third Man,1949,1949-08-31,7.921,1964,1226098,0,105
Heat,1995,1995-12-15,7.921,7684,187400000,60000000,170
Dallas Buyers Club,2013,2013-11-01,7.9,8669,55736588,5000000,117
